AH_hour,H_hour,T1_hour,T2_hour,T3_hour,T4_hour,T5_hour,quality_class
7.9,156.446,283,335,569,350,234,good
6.96,156,257,334,526,357,237,good
7.29,156.047,244,325,500,357,248,good
7.11,188.482,242,320,519,352,256,good
7.97,194.081,231,318,511,351,267,good
7.71,194.363,212,313,502,346,267,good
8.63,193.786,209,314,493,341,270,good
7.78,193.764,202,312,501,350,265,good
7.17,194.04,203,309,511,350,263,good
6.75,193.762,210,312,507,368,259,good
9.19,194.19,206,305,540,380,244,good
7.21,191.858,204,302,628,378,239,good
6.43,191.087,202,299,659,373,240,good
7.52,190.605,201,301,646,376,248,good
8.59,174.067,208,306,713,366,254,good
6.47,169.513,215,315,552,356,253,good
7.24,170.138,218,312,482,356,250,good
9.58,169.936,225,306,461,355,248,good
7.84,169.804,242,301,468,352,248,good
8.07,181.554,266,299,454,355,253,good
7.53,192.357,265,304,455,362,254,good
10.11,192.025,287,300,448,355,273,good
6.63,192.422,295,302,433,353,284,good
6.69,191.916,294,305,414,338,280,suspect
8.05,191.537,295,320,421,326,267,suspect
7.75,192.292,296,350,425,320,246,suspect
5.26,191.915,297,370,413,314,238,suspect
7.48,191.601,297,351,408,322,250,suspect
7.95,192.114,297,346,398,323,254,suspect
7.62,172.044,296,342,405,325,260,suspect
9.16,168.542,288,334,428,328,269,suspect
6.89,166.661,277,355,454,343,273,suspect
8.64,161.423,269,363,483,349,272,good
8.25,165.839,258,353,483,345,266,good
9.32,180.079,261,341,491,349,266,good
7.98,179.838,260,344,494,347,266,good
7.8,179.732,267,361,496,349,261,good
7.33,180.575,281,370,487,356,275,good
6.22,182.616,287,379,470,371,270,good
7.62,155.964,288,378,454,377,266,suspect
7.69,156.071,275,380,448,373,263,good
6.9,155.966,272,366,441,365,264,suspect
7.91,189.375,261,359,439,345,273,suspect
9.08,192.795,242,348,449,339,281,good
9.11,192.561,234,332,461,351,281,good
5.68,193.299,237,329,487,356,279,good
7.44,192.805,242,335,508,351,268,good
6.82,192.992,244,344,512,356,254,good
8.28,192.941,236,337,541,357,239,good
7.61,192.742,240,325,549,349,222,good
8.98,192.872,242,350,538,342,219,good
7.37,192.675,227,386,557,354,218,good
6.96,182.377,217,350,559,366,218,good
4.95,168.224,222,373,562,373,218,good
8.92,167.995,222,389,549,381,219,good
9.42,168.311,225,393,537,377,227,good
7.99,167.813,237,391,527,367,231,good
7.67,167.966,267,380,534,350,207,good
5.64,167.818,287,366,566,340,241,good
7.07,168.351,297,353,621,339,225,good
7.71,168.252,295,344,674,332,219,good
9.25,168.059,296,338,628,337,220,good
5.75,167.224,300,333,543,338,228,good
7.04,167.885,300,331,519,321,240,good
6.24,168.024,301,334,519,311,252,good
5.88,161.858,306,340,522,306,264,good
8.02,160.691,313,355,538,297,262,good
